Budimex SA,129.8,-0.15,130,129.8,130,315,40922,2018-12-11 09:24
Bumech SA w restrukturyzacji,0.24,0,0,0,0,0,0,2018-12-10
Capital Park SA,4.82,0,4.82,4.82,4.82,1,5,2018-12-11 09:00
Capital Partners SA,2.3,0,2.2,2.2,2.3,30,66,2018-12-11 09:08
CCC SA,197.7,0.87,198,196.4,198.8,5430,1071480,2018-12-11 09:29
CD Projekt SA,142.8,1.85,141.7,141.7,143.3,21780,3103522,2018-12-11 09:28
CDRL SA,26.2,-2.24,26.5,26.2,26.5,514,13467,2018-12-11 09:11
Celon Pharma SA,31.3,-3.25,32.35,31.3,32.35,132,4242,2018-12-11 09:21
Centrum Nowoczesnych Technologii SA,12.1,0,0,0,0,0,0,2018-12-10
Ceramika Nowa Gala SA,0.5,0,0,0,0,0,0,2018-12-10
CEZ a.s.,88.5,0,0,0,0,0,0,2018-12-10
CFI Holding SA,0.49,0,0,0,0,0,0,2018-12-10
Chemoservis-Dwory SA,0.33,0,0,0,0,0,0,2018-12-10
CI Games SA,0.89,0,0.91,0.89,0.91,70239,63313,2018-12-11 09:23
Ciech SA,45.26,-0.44,45.94,45.04,45.94,5019,228335,2018-12-11 09:26
City Service SE,11.3,0,0,0,0,0,0,2018-12-10
Coal Energy SA,0.36,0,0,0,0,0,0,2018-12-10
Cognor Holding SA,1.75,0.57,1.74,1.73,1.75,1648,2857,2018-12-11 09:24
ComArch SA,160.5,0.63,160.5,160.5,160.5,6,963,2018-12-11 09:03
Comp SA,60,0,60,60,60,90,5400,2018-12-11 09:00
COMPERIA-PDA,7.5,0,0,0,0,0,0,2018-12-10
Comperia.pl SA,7.5,0,0,0,0,0,0,2018-12-10
CPD SA,6.4,0,0,0,0,0,0,2018-12-10
CUBE.ITG SA w restrukturyzacji,0.06,0,0,0,0,0,0,2018-12-10
Cyfrowy Polsat SA,22.48,0.09,22.5,22.46,22.56,6782,152653,2018-12-11 09:28
Czerwona Torebka SA,0.24,0,0,0,0,0,0,2018-12-10
